Area Code,Ddate,Market,Market Size,Product,Product Type,State,Type,Budget Cogs,Budget Margin,Budget Profit,Budget Sales,Coffee Sales,Cogs,Inventory,Margin,Marketing,Number of Records,Number Of Records,Profit,Total Expenses
303,5/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,110,150,120,260,254,104,871,152,29,1,1,155,37
720,6/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,130,180,140,310,298,123,947,178,34,1,1,182,43
303,7/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,130,190,150,320,309,127,"1,007",185,35,1,1,192,43
720,8/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,130,200,160,330,320,132,994,191,36,1,1,199,44
720,9/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,150,120,250,261,100,981,145,28,1,1,157,39
719,10/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,160,150,260,282,108,971,157,30,1,1,172,41
720,11/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,80,110,80,190,211,81,984,117,22,1,1,125,33
720,12/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,80,120,90,200,224,86,"1,003",124,24,1,1,131,36
309,1/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,100,140,100,240,234,95,608,139,30,1,1,87,52
847,2/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,110,150,100,260,254,104,596,150,33,1,1,95,55
630,3/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,110,170,120,280,267,109,585,158,34,1,1,102,56
309,4/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,130,180,130,310,301,123,611,178,39,1,1,116,62
618,5/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,130,190,140,320,312,127,671,185,40,1,1,122,63
630,6/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,140,220,160,360,345,141,764,204,45,1,1,135,69
217,7/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,160,230,170,390,376,154,833,222,49,1,1,150,72
630,8/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,160,230,170,390,376,154,817,222,49,1,1,150,72
708,9/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,120,190,140,310,298,122,801,176,39,1,1,115,61
815,10/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,110,190,160,300,298,122,789,176,39,1,1,115,61
815,11/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,110,160,110,270,278,113,803,165,36,1,1,106,59
630,12/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,120,180,130,300,312,127,830,185,40,1,1,122,63
217,1/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,100,140,100,240,262,95,608,139,30,1,1,136,55
773,2/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,110,150,100,260,271,104,596,150,33,1,1,141,55
815,3/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,110,170,120,280,285,109,585,158,34,1,1,151,56
312,4/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,130,180,130,310,321,123,611,178,39,1,1,172,62
847,5/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,130,190,140,320,309,127,671,185,40,1,1,168,59
815,6/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,140,220,160,360,342,141,764,204,45,1,1,186,64
847,7/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,160,230,170,390,373,154,833,222,49,1,1,207,67
309,8/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,160,230,170,390,373,154,817,222,49,1,1,207,67
847,9/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,120,190,140,310,318,122,801,176,39,1,1,171,61
815,10/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,110,190,160,300,318,122,789,176,39,1,1,171,61
847,11/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,110,160,110,270,296,113,803,165,36,1,1,157,59
312,12/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,120,180,130,300,332,127,830,185,40,1,1,181,63
614,1/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,60,90,20,150,150,63,435,87,57,1,1,0,87
614,2/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,130,129,54,427,75,49,1,1,-3,78
513,3/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,130,125,52,421,73,47,1,1,-4,77
513,4/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,130,125,52,433,73,47,1,1,-3,76
440,5/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,130,128,53,458,75,48,1,1,-2,77
937,6/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,40,70,20,110,107,44,496,63,40,1,1,-6,69
330,7/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,40,50,0,90,95,39,517,56,36,1,1,-9,65
614,8/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,30,60,10,90,89,37,513,52,33,1,1,-11,63
234,9/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,130,126,52,509,74,47,1,1,-3,77
216,10/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,40,70,30,110,122,51,503,71,46,1,1,-5,76
567,11/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,70,10,120,125,52,509,73,47,1,1,-3,76
419,12/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,40,70,10,110,112,47,521,65,42,1,1,-6,71
513,1/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,60,90,20,150,168,63,435,87,57,1,1,0,91
513,2/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,130,137,54,427,75,49,1,1,-4,78
440,3/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,130,133,52,421,73,47,1,1,-6,77
513,4/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,130,133,52,433,73,47,1,1,-4,76
234,5/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,130,127,53,458,75,48,1,1,-3,72
234,6/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,40,70,20,110,106,44,496,63,40,1,1,-8,64
567,7/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,40,50,0,90,94,39,517,56,36,1,1,-12,60
513,8/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,30,60,10,90,88,37,513,52,33,1,1,-15,59
614,9/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,80,20,130,134,52,509,74,47,1,1,-4,77
234,10/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,40,70,30,110,130,51,503,71,46,1,1,-7,76
614,11/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,50,70,10,120,133,52,509,73,47,1,1,-4,76
513,12/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,40,70,10,110,119,47,521,65,42,1,1,-9,71
720,1/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,80,130,80,210,180,72,558,108,23,1,1,53,55
303,2/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,80,140,90,220,189,75,549,114,24,1,1,59,55
970,3/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,80,130,80,210,180,72,541,108,23,1,1,54,54
719,4/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,70,130,80,200,170,68,559,102,22,1,1,48,54
303,5/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,70,110,60,180,160,64,593,96,21,1,1,44,52
303,6/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,60,90,50,150,135,54,641,81,17,1,1,33,48
303,7/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,60,90,50,150,131,52,668,79,17,1,1,31,48
719,8/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,60,90,50,150,131,52,662,79,17,1,1,30,49
303,9/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,60,110,60,170,150,60,656,90,19,1,1,39,51
303,10/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,100,160,130,260,182,72,650,110,23,1,1,56,54
303,11/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,90,150,100,240,189,75,659,114,24,1,1,58,56
970,12/1/12,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,80,130,80,210,168,67,677,101,22,1,1,47,54
719,1/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,80,130,80,210,201,72,558,108,23,1,1,83,58
970,2/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,80,140,90,220,201,75,549,114,24,1,1,88,55
970,3/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,80,130,80,210,192,72,541,108,23,1,1,80,54
303,4/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,70,130,80,200,181,68,559,102,22,1,1,71,54
719,5/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,70,110,60,180,159,64,593,96,21,1,1,61,48
970,6/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,60,90,50,150,134,54,641,81,17,1,1,46,45
303,7/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,60,90,50,150,130,52,668,79,17,1,1,43,45
720,8/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,60,90,50,150,130,52,662,79,17,1,1,41,46
970,9/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,60,110,60,170,160,60,656,90,19,1,1,58,51
970,10/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,100,160,130,260,194,72,650,110,23,1,1,83,54
970,11/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,90,150,100,240,201,75,659,114,24,1,1,86,56
720,12/1/13,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,80,130,80,210,179,67,677,101,22,1,1,70,54
630,1/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,260,270,180,530,456,228,"1,459",228,63,1,1,140,88
312,2/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,260,270,180,530,457,228,"1,436",229,63,1,1,142,87
773,3/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,270,290,200,560,478,239,"1,417",239,66,1,1,148,91
217,4/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,270,290,200,560,478,239,"1,464",239,66,1,1,149,90
630,5/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,300,310,210,610,521,260,"1,559",261,72,1,1,165,96
312,6/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,300,310,210,610,521,260,"1,715",261,72,1,1,164,97
312,7/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,300,320,220,620,532,266,"1,819",266,74,1,1,168,98
847,8/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,300,320,220,620,532,266,"1,797",266,74,1,1,167,99
312,9/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,280,300,210,580,498,249,"1,775",249,69,1,1,155,94
312,10/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,340,370,300,710,478,239,"1,755",239,66,1,1,149,90
847,11/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,270,270,200,540,423,211,"1,778",212,59,1,1,129,83
630,12/1/12,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,320,320,240,640,501,250,"1,820",251,70,1,1,157,94
773,1/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,260,270,180,530,510,228,"1,459",228,63,1,1,218,92
630,2/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,260,270,180,530,487,228,"1,436",229,63,1,1,211,87
630,3/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,270,290,200,560,509,239,"1,417",239,66,1,1,220,91
815,4/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,270,290,200,560,509,239,"1,464",239,66,1,1,221,90
773,5/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,300,310,210,610,516,260,"1,559",261,72,1,1,228,89
309,6/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,300,310,210,610,516,260,"1,715",261,72,1,1,226,90
815,7/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,300,320,220,620,527,266,"1,819",266,74,1,1,232,91
847,8/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,300,320,220,620,527,266,"1,797",266,74,1,1,230,92
773,9/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,280,300,210,580,531,249,"1,775",249,69,1,1,230,94
773,10/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,340,370,300,710,509,239,"1,755",239,66,1,1,221,90
847,11/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,270,270,200,540,451,211,"1,778",212,59,1,1,191,83
773,12/1/13,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,320,320,240,640,534,250,"1,820",251,70,1,1,233,94
614,1/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,90,40,150,130,58,338,72,22,1,1,16,56
614,2/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,90,40,150,132,59,331,73,22,1,1,18,55
234,3/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,90,40,150,129,58,325,71,22,1,1,15,56
419,4/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,80,30,140,121,54,337,67,20,1,1,13,54
740,5/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,70,20,130,118,53,361,65,20,1,1,11,54
419,6/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,50,80,30,130,115,51,396,64,19,1,1,12,52
513,7/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,50,80,30,130,115,51,419,64,19,1,1,11,53
937,8/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,50,70,20,120,109,49,414,60,18,1,1,8,52
567,9/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,50,70,30,120,102,45,409,57,17,1,1,6,51
614,10/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,70,100,70,170,120,54,404,66,20,1,1,12,54
419,11/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,70,80,40,150,124,55,410,69,20,1,1,16,53
740,12/1/12,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,50,80,40,130,103,46,422,57,17,1,1,6,51
937,1/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,90,40,150,145,58,338,72,22,1,1,25,59
513,2/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,90,40,150,141,59,331,73,22,1,1,27,55
330,3/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,90,40,150,137,58,325,71,22,1,1,22,56
419,4/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,80,30,140,129,54,337,67,20,1,1,19,54
216,5/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,70,20,130,117,53,361,65,20,1,1,15,50
740,6/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,50,80,30,130,114,51,396,64,19,1,1,17,48
614,7/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,50,80,30,130,114,51,419,64,19,1,1,15,49
216,8/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,50,70,20,120,108,49,414,60,18,1,1,11,48
419,9/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,50,70,30,120,109,45,409,57,17,1,1,9,51
419,10/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,70,100,70,170,128,54,404,66,20,1,1,18,54
937,11/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,70,80,40,150,132,55,410,69,20,1,1,24,53
419,12/1/13,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,50,80,40,130,110,46,422,57,17,1,1,9,51
970,1/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,140,160,110,300,341,170,"1,091",171,47,1,1,99,72
970,2/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,140,150,100,290,340,170,"1,073",170,47,1,1,99,71
719,3/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,130,150,100,280,325,162,"1,059",163,45,1,1,94,69
303,4/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,130,150,100,280,325,162,"1,091",163,45,1,1,94,69
970,5/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,120,140,90,260,298,149,"1,156",149,41,1,1,83,66
720,6/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,120,140,90,260,298,149,"1,245",149,41,1,1,83,66
303,7/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,120,130,80,250,291,145,"1,304",146,40,1,1,81,65
303,8/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,120,130,80,250,291,145,"1,292",146,40,1,1,82,64
970,9/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,130,140,90,270,310,155,"1,280",155,43,1,1,87,68
719,10/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,120,140,110,260,322,161,"1,267",161,45,1,1,92,69
970,11/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,170,160,100,330,363,181,"1,283",182,50,1,1,107,75
303,12/1/12,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,140,140,80,280,306,153,"1,319",153,42,1,1,87,66
720,1/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,140,160,110,300,382,170,"1,091",171,47,1,1,154,76
970,2/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,140,150,100,290,362,170,"1,073",170,47,1,1,147,71
970,3/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,130,150,100,280,346,162,"1,059",163,45,1,1,140,69
720,4/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,130,150,100,280,346,162,"1,091",163,45,1,1,140,69
719,5/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,120,140,90,260,295,149,"1,156",149,41,1,1,115,61
720,6/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,120,140,90,260,295,149,"1,245",149,41,1,1,115,61
719,7/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,120,130,80,250,288,145,"1,304",146,40,1,1,112,60
719,8/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,120,130,80,250,288,145,"1,292",146,40,1,1,113,60
303,9/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,130,140,90,270,330,155,"1,280",155,43,1,1,129,68
720,10/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,120,140,110,260,343,161,"1,267",161,45,1,1,137,69
970,11/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,170,160,100,330,387,181,"1,283",182,50,1,1,159,75
970,12/1/13,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,140,140,80,280,326,153,"1,319",153,42,1,1,129,66
312,1/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,70,120,100,190,219,89,777,130,24,1,1,95,35
815,2/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,80,130,110,210,243,99,766,144,27,1,1,105,39
224,3/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,70,110,90,180,213,87,756,126,24,1,1,91,35
224,4/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,70,120,100,190,223,91,777,132,25,1,1,95,37
773,5/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,80,140,120,220,256,104,821,152,29,1,1,112,40
630,6/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,90,150,130,240,276,113,897,163,31,1,1,121,42
312,7/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,80,140,120,220,256,104,952,152,29,1,1,111,41
630,8/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,100,160,140,260,301,123,941,178,34,1,1,132,46
708,9/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,100,160,140,260,302,123,928,179,34,1,1,133,46
708,10/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,90,150,140,240,302,123,915,179,34,1,1,133,46
312,11/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,110,150,110,260,290,118,930,172,33,1,1,127,45
309,12/1/12,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,110,170,130,280,302,123,959,179,34,1,1,133,46
773,1/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,70,120,100,190,245,89,777,130,24,1,1,148,37
630,2/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,80,130,110,210,259,99,766,144,27,1,1,156,39
312,3/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,70,110,90,180,227,87,756,126,24,1,1,135,35
847,4/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,70,120,100,190,238,91,777,132,25,1,1,141,37
773,5/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,80,140,120,220,254,104,821,152,29,1,1,155,37
630,6/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,90,150,130,240,274,113,897,163,31,1,1,167,39
708,7/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,80,140,120,220,254,104,952,152,29,1,1,153,38
815,8/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,100,160,140,260,298,123,941,178,34,1,1,182,43
312,9/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,100,160,140,260,322,123,928,179,34,1,1,197,46
708,10/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,90,150,140,240,322,123,915,179,34,1,1,197,46
708,11/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,110,150,110,260,309,118,930,172,33,1,1,188,45
618,12/1/13,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,110,170,130,280,322,123,959,179,34,1,1,197,46
937,1/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,20,50,50,70,80,32,456,48,8,1,1,29,19
330,2/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,10,30,30,40,56,22,452,34,6,1,1,17,17
234,3/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,10,30,30,40,53,21,449,32,5,1,1,15,17
216,4/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,10,30,30,40,53,21,454,32,5,1,1,16,16
419,5/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,10,30,30,40,49,20,464,29,5,1,1,12,17
614,6/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,10,20,20,30,44,18,478,26,5,1,1,9,17
740,7/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,10,20,20,30,44,18,486,26,5,1,1,9,17
567,8/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,10,20,20,30,41,16,484,25,4,1,1,9,16
937,9/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,10,30,30,40,50,20,482,30,5,1,1,14,16
937,10/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,0,30,30,30,53,21,480,32,5,1,1,16,16
937,11/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,30,40,30,70,80,32,482,48,8,1,1,29,19
937,12/1/12,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,20,40,30,60,73,29,490,44,8,1,1,25,19
